mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.4029186248779295,0.024066343528250208,0.053789615631103516,0.0015028134791556223,0.8,0.05,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.9351874628323938,0.9382508503775668,0.934485755690258,0.9323134980107173,0.9387111708240932,0.9357897475470057,0.0023974650606408947,14
1.8174365997314452,0.016742759986108212,0.054394865036010744,0.002344707719069663,0.8,0.05,4,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",0.933814688896887,0.9379327949263034,0.9339860159174453,0.929997304495024,0.936386033637114,0.9344233675745548,0.002695178621128191,16
2.462161922454834,0.17750945360685105,0.08325386047363281,0.029528262089607016,0.8,0.05,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9362531859489404,0.9402275844271076,0.9354591262063019,0.9347664075387883,0.9411358056666181,0.9375684219575513,0.0026010625019308575,6
2.0526968479156493,0.1258473164725343,0.10691423416137695,0.05898703903085259,0.8,0.05,6,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9345131593824632,0.941964158559921,0.9356267850160925,0.9345779378308733,0.9382093659452546,0.936978281346921,0.002829825383245209,9
3.458871364593506,0.03198196597406529,0.07918829917907715,0.001352662646183858,0.8,0.05,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9373111410897434,0.9437989112750442,0.9374302500511393,0.9369342404606079,0.9430303618930455,0.939700980953916,0.0030463163565586718,2
2.7893367767333985,0.13730379464947165,0.08096656799316407,0.006857230652207716,0.8,0.05,6,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.9355771562821779,0.9440817950583592,0.9373691851307134,0.9385483088401781,0.9403275221090913,0.939180793484104,0.002898377673947959,3
1.880319595336914,0.14976662163083623,0.04330573081970215,0.0007884729810053399,1.0,0.03,4,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9280633659674625,0.9301158377804994,0.9241229523831719,0.9224834226443982,0.9311245285462229,0.927182021464351,0.0033574437572344035,29
1.3116050720214845,0.01108547905741481,0.043085145950317386,0.0003999233672256965,1.0,0.03,4,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9272464338518027,0.9279756525746955,0.9229369335311577,0.9210570692313498,0.9304080806772748,0.9259248339732562,0.0034256289004653347,32
2.586471176147461,0.021528872075369663,0.07171387672424316,0.021872279246305786,1.0,0.03,4,300,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.9315347880162574,0.934544662839644,0.9292702073100103,0.927197645206853,0.9341627682362907,0.931342014321811,0.002818473045010915,23
1.9682759284973144,0.025516526862218173,0.06293272972106934,0.01293771996258529,1.0,0.03,4,300,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",0.9300042810177429,0.9318253318867638,0.9268597612814743,0.924398093738881,0.9322034629932391,0.9290581861836202,0.002999816348731904,28
2.535947847366333,0.08065388448923412,0.058928060531616214,0.0022629084501906965,1.0,0.03,6,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9334400998443815,0.937481389224782,0.933251726432609,0.9313757857397004,0.9374936734815007,0.9346085349445946,0.0024590304363989665,15
2.099393844604492,0.08276639559761202,0.07471952438354493,0.01560992709679128,1.0,0.03,6,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9323577618908288,0.9389726247903725,0.9313414517310934,0.9294258574401327,0.9363935876890536,0.9336982567082961,0.0034839236307325707,19
